Symbol,MarketCapitalization
CTOS,1344568320
LILA,1343963136
LILAK,1343958784
TASK,1342293248
IRS,1340940160
OCSL,1338953472
HCXY,1337949440
ATEN,1337236096
AHL-PD,1336631424
WBTN,1336604672
ULCC,1336455936
NVAX,1329535488
AMWD,1327771520
BCYC,1326373632
CNNE,1326316800
COUR,1325808000
CDNA,1324757376
EIG,1324041472
MFIC,1322302336
TBLA,1321297408
ACDC,1321212800
AMGDF,1316585216
BLBD,1315889024
KALU,1312941696
BLND,1312920960
AHCO,1307874688
FSCO,1307162880
BHLB,1306455168
ARDX,1302696960
THRM,1298052992
EVH,1294042496
SAFT,1292834944
NTST,1289998976
BMBL,1287394176
MRVI,1285367552
FOXF,1283848704
JKS,1281592832
DSP,1281548160
LB,1280000000
NMFC,1279116800
MD,1278760320
ARLO,1278344320
PGNY,1277299456
EVEX,1276892800
OXM,1275872512
AUPH,1271429632
PRAX,1269793280
CRAI,1269771904
FORTY,1268474368
CGAU,1267926016
DEA,1267141120
AVDL,1266844672
QNST,1263667328
SA,1258246144
UDMY,1251830528
MSC,1251823616
CARS,1251410688
FVRR,1250890240
ARI,1250483840
KRUS,1250145664
COHU,1249248256
BLX,1248203264
AEGXF,1248133760
AIV,1245991808
PFBC,1245277056
PLYA,1244723200
PEBO,1244547840
ULH,1244042368
STAA,1243723648
AOTUF,1240575872
HCI,1239492992
AGLY,1238138496
AORT,1235798656
PDFS,1235691776
SPH,1234985344
RC,1233646976
SSRM,1232433280
ADMNF,1232341888
SCSC,1224969984
TWO,1222033536
PHR,1220749824
RCKT,1214212608
GAM,1210685696
PSFE,1206951808
OPINL,1206951000
NYMTN,1205548544
HSAI,1203392256
ESTA,1202030848
PRO,1201571328
PL,1200316928
RDFN,1198886656
OCFC,1196762880
CRCT,1196614272
GLOP-PA,1194965248
DK,1194540032
CIM,1192102912
VTEX,1192101888
BRDG,1189044864
FWRG,1188985088
WOLF,1187730944
DGII,1187480960
VSAT,1185082752
INVA,1184412800
MRC,1184025344
EFXT,1180908416
ATUS,1180643840
OLO,1180060672
KRO,1179118976
DXPE,1177902336
ANIP,1176786688
KFRC,1176284800
SSTK,1175159552
MOMO,1174328448
TLRY,1174271744
SBGI,1171659392
ARKOW,1169621000
BLFS,1168029696
IGIC,1167976448
PMT,1166543232
MDRX,1161438976
VTLE,1160229632
BSIG,1159467136
COMM,1159255296
ANDHF,1156936192
KBDC,1156692864
FBMS,1154366720
ECPG,1150686464
TIGR,1149410432
EMBC,1146067072
EVRI,1145285888
ADV,1145089536
CECO,1143813376
PDM,1142040064
INOD,1140581888
PGRE,1140273664
MESO,1137623296
CMCO,1137554560
CBRL,1136554752
OBK,1136410752
ELVN,1135976448
OMI,1135815680
TPB,1132785024
BKD,1131524736
BBSI,1129297024
LMB,1128211840
VMEO,1126128384
ALX,1125595648
ACNDF,1124970496
DAVE,1124096640
BRKL,1123530752
EXK,1122693632
CODI-PB,1122403712
PTA,1122051968
CODI-PA,1121572352
AMSF,1120902016
SUPV,1120333568
APPIF,1118775424
GETY,1118124032
ALCIF,1116000640
MFA,1115767168
CSWC,1113485056
SII,1111529728
GEAR,1109885568
ICHR,1109488256
GLOP-PB,1108161024
AHH,1106851200
ASPN,1105997568
MSEX,1104878464
ANZLY,1104856448
AAPI,1104808704
EFC,1102446208
BCSF,1101432832
AMAL,1100721152
GB,1099658368
IHS,1099612800
VIR,1097628416
GRC,1097358592
BCAX,1096963603
BLMN,1096173056
ANZFF,1095004800
PGRU,1094690816
LVWR,1093485056
AMTD,1092459776
TIXT,1092262528
GATO,1087900160
ADVOF,1087679488
BELFB,1086581632
BELFA,1086577536
VNET,1086551680
NVGS,1086251136
INVX,1086006784
AGRO,1085006080
REAX,1083284992
HIMX,1081500032
YEXT,1080932480
THR,1079607424
GLOP-PC,1079121152
TV,1076256512
ADCNF,1074099584
AIFLY,1071523968
AMTB,1071240064
TRS,1068252864
ASTL,1067203072
AAVVF,1066951040
NBXG,1066430784
BFC,1066288640
ANYCF,1065771328
SMWB,1064893312
PNTG,1064456704
ARR,1063905216
CTBI,1062888000
BXC,1061331840
BHRB,1059562880
AVAH,1058872960
PHVS,1058630144
GIC,1056311680
OPK,1056296064
SBSI,1055641600
NEXA,1050241216
SXC,1049472128
FBRT,1047566144
MTAL,1046967680
CCB,1044408704
JBI,1043955072
HOV,1043335808
CNOB,1041753600
AHH-PA,1039503424
BBDC,1038696896
EAI,1037792640
ACEL,1037242304
BZH,1033350592
DLX,1032870400
VTOL,1030321792
BTZ,1029369152
TUYA,1028453184
HY,1023355264
AFMJF,1023120000
OEC,1019338752
HEPS,1018784128
AMN,1017709952
MGPI,1015779200
WEAV,1015156864
PRLB,1013982784
CCEC,1013603584
FMBH,1008833088
EEX,1008830464
BORR,1007271488
INN-PE,1006536512
ECC,1005304128
REPL,1004273216
LPG,1001625280
SDA,999070336
DCO,997898304
PFC,996743744
SKE,996337920
DX,996052032
GCT,993973440
RDWR,993599296
COGT,993053376
NRDS,992893888
PLSE,992879488
FIP,991856448
AIABF,990581952
BITF,990389888
HSTM,986659328
HL-PB,984288256
FWRD,977500480
CSR,975337536
TRNS,974203712
LQDA,971628160
VLRS,971435520
AGZNF,970482176
LUNR,970291200
BDN,968087424
ETWO,967245184
COLL,963313472
IIPR-PA,962813184
AVBP,962055040
HTLD,956875968
MATW,954184256
ML,953149056
NYAX,952371968
JBSS,951951168
GOGO,950890880
ERII,949459968
KIND,947714688
CLB,946984384
CINT,945551872
UTL,945287360
EH,944437696
RWT,944380928
SBR,944009664
ENFN,943720960
VVI,940940352
EOSEW,940193000
ANGI,939838400
NCDL,936605760
UVSP,935473536
BOW,935348032
CAL,935301184
IMTX,933504000
NUVB,932290624
ECVT,932080000
PAHC,928342528
ETNB,927721984
SHCO,925708480
GOOS,923746688
STKL,922530368
IPX,922014464
AIHZF,918979968
GDEN,918322880
SLRC,918154304
PFLT,918025792
HSII,915153024
ACEHF,910575040
AGL,910559744
PARR,909781184
PSTX,909364352
JACK,907441792
ARRY,907099712
HCSG,905145152
JELD,903738368
HFWA,900970240
CSTL,900714752
GYRE,898130432
HPKEW,896175900
ATLC,896125120
ADPT,895804608
AVO,894182656
LAC,893166080
RGTI,890555840
HCKT,889338496
SCVL,888308224
ORKA,888263104
CGBD,887296832
RDW,884993984
GAM-PB,884062272
HQH,883908992
DDL,883133056
ACMR,883052032
PRA,881423040
MCBS,877750400
MLR,877706560
GES,877263936
CMTG,876593344
EGBN,876145536
EYE,873335296
CFFN,870578688
FIGS,869427200
PLRX,868989376
AVNS,868127680
ASTE,866240448
AHWSF,862650048
BASE,862171520
PCRX,862053632
PDS,862044096
CPF,860109824
MBUU,858991232
CFB,858077504
DIDAF,856719936
PLYM,855652672
GLDD,855028032
FNA,854784320
CRESY,853883008
BLDEW,852941700
GTNA,852276200
ADMLF,849180288
ADTLF,849179456
NBBK,848989312
PUMP,848143168
HNST,848072384
ADSGF,847895872
ASIX,846570752
WLKP,846078784
QBTS,844536576
CTKB,842423936
ABCL,841793088
OSBC,841003136
TRIN,840585792
NBN,840406656
CBL,839148416
NOAH,838795136
WNC,835970752
BFST,835433664
DRD,835428288
OPRA,835253056
EQBK,835209216
BJRI,833943040
AECLY,833592192
FCBC,833516288
KURA,832850304
PENG,830233216
NESR,830053888
