Symbol,MarketCapitalization
BE,6006987776
KRG,6002121728
ESNT,5990413312
RDNT,5985802240
OBDC,5982026240
SAIC,5981037568
STRL,5978612224
NOVT,5972275200
APAJF,5969111552
SKY,5965924864
FSK,5965405184
FSS,5963373568
CLF,5956964864
GXO,5955032576
IBP,5953204736
CYTK,5952643584
LNC,5948371456
FNB,5947552256
TRNO,5931789824
ACIW,5918866432
THG,5918845952
CIG-C,5914353152
CIG,5914350080
AEMMY,5909748736
FG,5887328768
TKC,5874226688
CBT,5853359104
SHAK,5847429120
KBH,5844027392
GTES,5840684032
REYN,5833653248
KNF,5831674368
VLY,5820257792
ALLDF,5817901568
FFIN,5812620288
EAT,5809862656
OAK-PB,5805011456
IONS,5802714624
EPRT,5786649600
VNT,5784201728
RITM,5774222336
SRCL,5754061824
BIPC,5751183360
INSP,5741658112
QLYS,5736841728
BCPC,5733708288
VIRT,5725615104
CACC,5711703040
VRNS,5711281152
GPI,5705559552
IESC,5703972864
CNX,5699167232
DY,5689302528
AACAY,5677970944
AACAF,5675578880
BMA,5668820992
UNMA,5663855104
CHX,5663564800
GATX,5659278336
DAR,5657337344
NFG,5647361536
AL,5635676160
MAC,5635308544
UBSI,5625152000
QFIN,5608256512
CWEN-A,5598754816
CWEN,5598730752
AMG,5594968064
THO,5588073984
WK,5583412736
SLM,5577909248
TSEM,5577573376
HMY,5564005376
VKTX,5558427648
AVAV,5553155584
ROAD,5549733376
BCC,5547160576
CRUS,5524424192
SNDR,5520079360
CTRE,5512827904
NVMI,5511842816
JSM,5509490688
MSGS,5504943104
STVN,5496185856
ALTM,5495293952
BEPC,5489828864
LEA,5487922176
SWX,5486958080
DNB,5483740672
TLPFY,5447307776
USM,5428694016
ACT,5426299392
PFSI,5424100352
ALITF,5389579264
IEP,5385272320
ADRZY,5372242944
OZK,5371715072
NXT,5370383360
NXST,5364937216
MC,5360531968
SLG,5359619584
PECO,5358791168
TLX,5355584000
CRNX,5350031872
VIST,5341442048
TKR,5336620032
ACLIF,5317020160
ACLLY,5317019648
ADRZF,5312721920
SEE,5307559424
HXL,5290250240
NE,5281412608
SNV-PD,5276285440
PIPR,5259461120
TGTX,5238127104
SMTC,5229687296
ACA,5225946112
ITRI,5221376000
TENB,5218664448
MGY,5216684032
BC,5205412352
RDN,5202213376
NEU,5194234368
EPR-PG,5190906880
INTA,5181733376
RRR,5170233856
KRYS,5169987072
SFBS,5165021184
MGR,5146438000
AKBLF,5128521216
SITM,5128426496
LAZ,5127825920
CNS,5126560256
ABCZF,5120860160
SRAD,5118454784
WTM,5108846080
NSIT,5093020672
LANC,5088635392
KTB,5088457728
ABG,5076296704
MATX,5073184768
CRC,5073142784
PAM,5066460672
PRCT,5064890880
LTH,5050140672
ALKS,5046636032
LBTYK,5044098048
LBTYA,5044097536
LBTYB,5044093440
BBIO,5038473216
HWC,5037976064
COLM,5026252288
SON,5005343744
BHFAL,4992308736
GAB-PG,4989664256
PI,4974550528
NJR,4968501248
BDC,4965446656
LOPE,4948957184
AARTY,4946653696
PHI,4936879616
SOUN,4928767488
FLG,4906659328
POR,4899485696
IDCC,4894121984
MAIN,4892126720
FELE,4887181312
VVV,4884592640
EXPO,4879483904
FRSH,4872921088
IRT,4872616448
URBN,4849094144
NVEI,4839360512
CUZ,4838266880
SLMBP,4833143296
KAI,4825456640
RUSHA,4821920768
LRN,4818715136
KRC,4803638784
AGLXY,4791623168
ABCB,4789088768
NXE,4785516032
SM,4783816704
RUSHB,4782230528
OLN,4781601792
ESGR,4776260096
CALM,4768809472
AXSM,4766277120
ORA,4762528256
AI,4762467328
FUN,4757128704
AVT,4753058816
ST,4745735680
RYN,4744762368
FCFS,4742401536
FLO,4727912960
ADMA,4715988992
GH,4708665344
ABZPY,4699385856
TNET,4681957376
ACLX,4673135616
ITGR,4671729664
AGO,4668121600
CIVI,4659700224
MSM,4659573248
TGS,4657698816
FIZZ,4656251392
M,4643226624
PAGP,4640820224
SG,4632623616
GSHD,4630794752
PAY,4630153216
MUR,4611555840
BOX,4605712896
AROC,4590786048
AX,4573101056
SKYW,4567929856
KMPR,4563241984
BGC,4563011584
RXO,4560004608
AVNT,4559997440
EEFT,4557903360
SNRE,4551769088
GOLF,4546232832
ELPC,4544495104
ELP,4544492544
TIGO,4541240320
PRMB,4537603072
BOOT,4535143936
AXS-PE,4526507520
AHEXF,4495716864
BKH,4492649984
CLBT,4490219008
PLXS,4487043072
AHEXY,4478107648
WAY,4474821120
AAFRF,4474513920
MMS,4468552704
AEIS,4467266560
IBOC,4460562944
PRIM,4457650176
ALFFF,4446832128
GBTG,4446243840
AHR,4412777472
GLNG,4412763648
MHO,4412657664
WHD,4411974144
RNA,4400116224
BHVN,4397795840
IPAR,4383666688
NYCB,4380972032
VCTR,4375487488
RARE,4371579392
SBRA,4360287232
SMG,4359992832
CRK,4354688512
FTDR,4342457856
CNK,4336615424
GVA,4319241728
NCNO,4316800000
HHH,4302800384
USLM,4302012416
ASB,4301333504
MCY,4296797184
DORM,4271229184
HAFN,4268065024
SANM,4267290880
BANF,4263023360
APLS,4245541120
BRZE,4241597952
HOG,4236146944
PBH,4233063168
CRSP,4225851904
KTOS,4222518528
OGS,4194758400
HAE,4194194432
NWL,4193280256
MIR,4187702272
